Area Name,Total/Rural/Urban,Availability of separate kitchen,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total number of households
INDIA,Total,Total,120878598,21837423,19609369,3577088,7164634,70425518,235548,1018990,1196071,796989,246740228
INDIA,Total,Cooking inside house:,100602578,17119096,16939796,3222602,6885159,68593142,213772,953723,926206,0,215456074
INDIA,Total,Has Kitchen,55953580,6564738,5840120,1435573,4506165,61965930,157657,822124,387749,0,137633636
INDIA,Total,Does not have kitchen,44648998,10554358,11099676,1787029,2378994,6627212,56115,131599,538457,0,77822438
INDIA,Total,Cooking outside house:,20276020,4718327,2669573,354486,279475,1832376,21776,65267,269865,0,30487165
INDIA,Total,Has Kitchen,8557368,2415556,1252191,163581,117618,941966,9163,33922,109510,0,13600875
INDIA,Total,Does not have kitchen,11718652,2302771,1417382,190905,161857,890410,12613,31345,160355,0,16886290
INDIA,Total,No Cooking,0,0,0,0,0,0,0,0,0,796989,796989
INDIA,Rural,Total,105008182,20697446,18252507,1299021,1229521,19139986,118051,694396,1040550,394631,167874291
INDIA,Rural,Cooking inside house:,86568599,16136780,15721876,1105150,1102923,17737406,98933,635961,789890,0,139897518
INDIA,Rural,Has Kitchen,47291919,6037093,5365273,514929,748642,15400902,59987,538492,320353,0,76277590
INDIA,Rural,Does not have kitchen,39276680,10099687,10356603,590221,354281,2336504,38946,97469,469537,0,63619928
INDIA,Rural,Cooking outside house:,18439583,4560666,2530631,193871,126598,1402580,19118,58435,250660,0,27582142
INDIA,Rural,Has Kitchen,7798267,2339066,1190743,100933,54857,680988,7712,29862,103021,0,12305449
INDIA,Rural,Does not have kitchen,10641316,2221600,1339888,92938,71741,721592,11406,28573,147639,0,15276693
INDIA,Rural,No Cooking,0,0,0,0,0,0,0,0,0,394631,394631
INDIA,Urban,Total,15870416,1139977,1356862,2278067,5935113,51285532,117497,324594,155521,402358,78865937
INDIA,Urban,Cooking inside house:,14033979,982316,1217920,2117452,5782236,50855736,114839,317762,136316,0,75558556
INDIA,Urban,Has Kitchen,8661661,527645,474847,920644,3757523,46565028,97670,283632,67396,0,61356046
